Year,Value
1960,-0.2539522830502379
1961,6.446084096316986
1962,10.475083126485355
1963,9.335414151846548
1964,4.4483441074208345
1965,-2.7789522378905684
1966,-7.200311881220395
1967,-7.681805120865679
1968,-4.233785611784425
1969,1.8256245115751784
1970,8.606765974114245
1971,12.346530716763231
1972,11.514890708521287
1973,5.623172863331478
1974,-0.7553467613440343
1975,-5.239976518409004
1976,-7.082691322531126
1977,-2.261084753719868
1978,3.595010807143283
1979,10.135267652148391
1980,13.848219351010265
1981,12.836202533616905
1982,8.259571124954578
1983,0.718986836971007
1984,-3.856095560601115
1985,-4.797019213024394
1986,-1.7182195339297355
1987,6.412971513974054
1988,12.496456468302716
1989,16.63423856003068
1990,14.372642365062735
1991,9.303144076048174
1992,3.4151267213164602
1993,-3.1833835597942164
1994,-3.006440593061361
1995,-0.24448700853111993
1996,7.1804561944183805
1997,12.692737050163043
1998,17.978108631960527
1999,16.145333979848555
2000,11.069489369274505
2001,4.672750823327428
2002,-0.0008702288291779214
2003,-1.2681026275695069
2004,2.574541052134421
2005,9.471125406536292
2006,16.09148027046958
2007,18.739103338414356
2008,18.706461628767258
2009,12.665160661107686
2010,7.048819977302089
2011,1.629154153670926
2012,0.4432350532119257
2013,4.131470618105604
2014,11.18692411753271
2015,17.961053543373204
2016,21.82038256479291
2017,20.159237952000055
2018,14.732026966243941
2019,7.756061107402368
2020,2.4445597534670673
2021,1.9490991732595675
2022,5.856827987819384
2023,13.113341739441172
2024,18.685443645669
2025,21.608378827819113
