Year,Value
1960,0.15972771554853776
1961,4.262001110604988
1962,6.296899115319629
1963,5.963214466573002
1964,2.759073633918737
1965,-1.1319598543610974
1966,-3.488507438815651
1967,-3.0829437106856763
1968,-2.0463975858084638
1969,3.2497764558214968
1970,7.292017121864034
1971,9.149194574360305
1972,8.63069196258408
1973,5.600304210709619
1974,2.116350355674861
1975,-0.3070912016386935
1976,0.04482949869419928
1977,0.46401751237666955
1978,5.793456048560248
1979,9.265648661299625
1980,11.351548157843084
1981,12.05989424042348
1982,8.20414338376661
1983,5.005481025076354
1984,1.8099172857120815
1985,1.5474488731710048
1986,3.805847893166195
1987,7.954812697851481
1988,11.475513906955102
1989,15.490758814401133
1990,13.725924576303088
1991,11.294592061250041
1992,7.500128087327537
1993,4.717501800373591
1994,4.874420191448752
1995,6.403277464804157
1996,10.251735723620229
1997,14.737924368607262
1998,16.704691689434288
1999,16.50291238122349
2000,13.988605600452752
2001,11.791384020876905
2002,7.431477701707585
2003,7.066235614931105
2004,10.093244628951036
2005,12.989715107907903
2006,17.750950376918382
2007,20.350890345936822
2008,19.919243555574003
2009,15.749024095309649
2010,13.432371782792389
2011,10.635550164295235
2012,10.095937203789216
2013,12.554610836932572
2014,16.96646765530984
2015,20.631979176975573
2016,22.94996982072846
2017,22.17801728363513
2018,18.67668881322824
2019,15.673309605795808
2020,12.708052208371535
2021,13.224346228628747
2022,14.957958093886852
2023,18.93069756124859
2024,23.62749973577985
2025,25.87253237929976
