Year,Value
1960,-0.17516527491373782
1961,2.3183812962429675
1962,4.968250647763377
1963,5.173247777405138
1964,2.064784351686887
1965,-1.6317115878403556
1966,-3.0558420052515096
1967,-4.0452275742359
1968,-2.9716142424858822
1969,1.1941273081731671
1970,3.3091098721459096
1971,6.202533000991901
1972,6.056042924384633
1973,2.443942357053201
1974,-0.03420290556235317
1975,-2.127955675939636
1976,-3.3842514909493553
1977,-1.3236299444477129
1978,1.2819481392616614
1979,5.04584500000569
1980,7.33943530054854
1981,5.721056214058943
1982,4.118120042206147
1983,0.06359454878210025
1984,-2.4271449433131487
1985,-2.1081182712629296
1986,0.16576234490131658
1987,2.5318464115297865
1988,6.044333550848958
1989,8.290197568980085
1990,7.23437074180458
1991,4.856393520623596
1992,1.013608435678974
1993,-1.7735658841445008
1994,-2.317760040226835
1995,0.28228050151079953
1996,4.0418385881341825
1997,7.291462793161703
1998,8.037098012606812
1999,7.061015867447464
2000,6.385678306663741
2001,1.8990168189311656
2002,-0.7395443880524073
2003,-1.4845968709592625
2004,0.3419433702007887
2005,4.588985912908359
2006,7.86928707163304
2007,9.797822215803533
2008,9.711698968747914
2009,6.337628896717898
2010,3.073654756330552
2011,0.5660930591352565
2012,0.5123347678326787
2013,2.6232476899327546
2014,5.04851179553311
2015,8.150600724959055
2016,10.537296635354206
2017,9.822974953765941
2018,8.107179091797114
2019,3.7912463615375076
2020,2.094973633415294
2021,0.7554208974967214
2022,3.3970273533956608
2023,6.279004654669705
2024,9.931889606956723
2025,11.358232545172857
